"Id","Sales"
1,4075.05
24825,4490.33
5993,3486.06
37665,4879.49
18833,3596
12841,5168.02
19689,3326.21
857,4295.14
15409,4692.8
38521,5469.8
13697,5100.58
7705,3615.12
39377,5039.97
20545,3521.84
1713,4628.31
16265,4258.53
33385,4368.29
27393,4590.74
2569,5018.94
40233,4794.95
21401,4195.49
35953,4449.79
34241,4092.71
3425,4249.47
22257,3808.12
9417,3769.69
30817,3578.21
10273,4355.58
35097,4392.68
23113,4148.26
4281,4121.15
14553,5602.89
8561,3900.03
29961,3302.44
25681,4692.67
5137,3579.21
23969,4367.38
36809,4683.15
17977,3472.37
26537,5213.02
11985,4670.71
6849,3612.15
17121,3870.18
29105,3856.33
32529,3920.12
11129,4333.06
31673,3547.51
28249,4203.82
23970,7432.05
1714,8832.53
24826,8028.03
18834,5463.69
38522,9575.82
5994,5600.74
35954,7411.09
2,7172.03
39378,4380.37
4282,3788.47
29106,5859.3
8562,5778.23
9418,3367.5
25682,8611.28
19690,5262.63
34242,3948.53
16266,4226
22258,3539.75
26538,9759.56
20546,4931.44
10274,4088.45
30818,5715.17
37666,8263.13
33386,3931.41
14554,12222.9
858,7987.38
21402,3727.4
2570,9610.8
11130,7085.64
5138,5580.99
40234,4570
32530,5739.53
36810,7945.62
11986,7561.02
15410,4275.62
35098,7226.76
29962,5151.54
23114,7022.87
17978,5410.11
31674,5693.08
28250,3715.68
6850,5797.11
13698,8630.99
27394,3838.99
7706,5840.04
17122,6153.47
12842,8281.25
3426,3752.12
4283,6144.43
23971,10385.8
24827,10632.2
1715,11020.2
8563,8812.46
5995,7848.75
29107,10207.1
38523,14714.2
34243,7182.63
22259,6517.45
35955,10653.5
3,8841.53
20547,8533.94
39379,4839.31
16267,7470.31
26539,14488
23115,10384.2
18835,8911.73
25683,12161.4
37667,12080.6
859,9281.69
17123,10096.1
5139,8165.7
19691,8904.11
9419,3581.13
7707,8620.82
11987,9188.3
10275,6296.1
35099,10958.3
33387,4765.15
14555,15127.7
21403,4470.29
2571,12585.3
11131,9140.5
29963,8525.05
15411,4882.91
28251,6806.59
32531,10264.2
13699,12364.2
36811,10716.6
30819,9085.53
40235,7679.55
6851,7998.86
12843,10593
27395,4547.27
17979,9033.1
3427,3747.17
31675,9695.92
860,6949.64
24828,6630.89
5996,5822.93
4284,3417.47
26540,9028.7
23972,7219.84
1716,7967.94
28252,3323.41
4,7375.63
23116,5890.52
37668,7256.56
16268,3703.72
35956,7186.45
11132,5944.47
19692,4731.25
5140,5189.47
22260,3113.4
32532,5503.75
11988,7567.13
30820,4971.34
39380,3762.24
10276,3382.15
33388,3624.07
14556,10162.2
40236,3576.3
25684,7356.63
6852,5251.22
17124,5253.47
34244,3317.54
15412,4231.65
3428,3616.15
20548,4751.4
9420,3213.22
17980,5443.33
21404,3640.54
35100,6121.74
7708,5372.5
8564,5730.96
29108,5138.37
2572,9539.48
29964,5081.56
36812,6623.92
38524,9007.55
27396,3663.85
13700,8478.46
31676,5108.77
12844,7648.43
18836,4907.03
16269,6560.22
23973,7789.25
4285,6084.1
11989,7761.81
11133,7206.92
861,7449.99
23117,7420.07
1717,8199.65
5997,5923.94
5,7079.91
17125,6835.03
34245,6313.97
22261,5962.73
21405,3879.16
26541,11316.8
9421,3331.6
30821,6024.02
10277,6240.8
35101,7341.02
33389,3909.2
35957,7332.9
5141,5993.61
12845,8554.18
6853,6135.83
36813,7498.48
20549,6253.37
3429,3597.57
32533,6911.08
2573,10579.8
8565,7074.62
24829,8036.72
29109,6559.54
18837,6145.61
25685,8578.38
15413,4070.49
40237,6617.84
38525,11106.6
7709,6258.66
17981,6119.98
39381,3924.71
27397,4002.76
29965,5637.38
31677,5901.8
19693,6008.3
14557,11736.8
28253,6275.16
13701,9216.21
37669,8074.87
24830,5503.09
