"Id","Sales"
1,5188.15
24825,5210.1
5993,3933.28
37665,5581.97
18833,3948.77
12841,5802.67
19689,3928.09
857,5213.46
15409,4841.57
38521,6136.56
13697,5690.64
7705,4026.7
39377,5211.41
20545,4012.51
1713,5541.69
16265,4710.21
33385,4557.47
27393,4593.86
2569,5898.74
40233,4977.67
21401,4491.12
35953,5256.93
34241,4444.21
3425,4587.34
22257,4377.69
9417,4579.04
30817,3985.38
10273,4960.05
35097,5292.84
23113,5192.07
4281,4568.54
14553,6274.48
8561,4100.26
29961,3972.4
25681,5528.51
5137,4155.4
23969,5185.74
36809,5345.13
17977,3971.57
26537,6056.52
11985,5354.95
6849,3983.21
17121,4301.54
29105,4152.95
32529,4090.66
11129,5283.49
31673,3997.22
28249,4454.97
23970,7536.25
1714,8590.17
24826,7918.65
18834,5518.27
38522,9836.34
5994,5728.62
35954,7757.42
2,7669.58
39378,5128.14
4282,3900.82
29106,5821.1
8562,5911.28
9418,4361.01
25682,8459.14
19690,5501.78
34242,3884.55
16266,4315.8
22258,3809.35
26538,9454.9
20546,5510.46
10274,4322.7
30818,5634.34
37666,8635.78
33386,4413.71
14554,11783.6
858,8005.28
21402,4227.91
2570,9521.31
11130,7806.31
5138,5747.8
40234,4699.69
32530,5905.49
36810,8135.73
11986,8002.35
15410,4964.42
35098,7738.51
29962,5670.89
23114,7533.21
17978,5552.6
31674,5709.03
28250,3780.51
6850,5832.42
13698,8432.33
27394,4231.92
7706,5867.36
17122,6397.2
12842,8123.42
3426,4332.17
4283,6123.83
23971,8949.5
24827,9004.84
1715,10397.5
8563,8163.19
5995,7559.02
29107,8680.02
38523,12712.1
34243,6443.37
22259,6165.31
35955,9105.14
3,8848.6
20547,8869.36
39379,4728.34
16267,6226.03
26539,11965.8
23115,8988.72
18835,8144.06
25683,10067.1
37667,10589.7
859,8852.29
17123,8783.47
5139,7809.47
19691,8538.47
9419,3106.16
7707,7963.64
11987,9141.33
10275,6227.81
35099,9124.78
33387,4236.92
14555,11860.2
21403,3919.4
2571,11728.2
11131,9108.06
29963,8313.06
15411,4029.9
28251,6346.09
32531,9099.92
13699,10896.4
36811,9270.93
30819,8241.75
40235,7155.99
6851,7705.37
12843,10034.1
27395,4332.87
17979,8199.23
3427,2962.45
31675,8742.43
860,6769.2
24828,6727.98
5996,5100
4284,3341.32
26540,8801.82
23972,6821.73
1716,7423.3
28252,3302.9
4,6861.9
23116,6360.82
37668,7375.71
16268,3575.9
35956,6878.69
11132,6492.99
19692,4993.24
5140,5008.64
22260,3241.48
32532,5126.3
11988,7033.97
30820,4972.55
39380,4639.5
10276,3412.63
33388,4240.28
14556,9165.15
40236,3689.67
25684,7247.79
6852,5010.9
17124,5112.76
34244,3296.18
15412,4502.26
3428,4270.15
20548,5044.31
9420,4206.27
17980,5111.78
21404,4231.85
35100,6423.23
7708,5077.86
8564,5197.68
29108,5001.17
2572,8890.13
29964,5079.58
36812,6872.53
38524,8962.75
27396,4292.17
13700,7628.81
31676,5030.2
12844,7651.98
18836,4970.08
16269,6349.87
23973,7368.45
4285,6051.46
11989,7762.36
11133,7641.48
861,7361.65
23117,7331.21
1717,7849.85
5997,5957.58
5,7352.03
17125,6158.5
34245,6106.56
22261,5978.77
21405,5146.19
26541,10069.6
9421,4744.89
30821,5886.35
10277,6203.98
35101,7391.91
33389,5312.74
35957,7410.06
5141,5950.78
12845,8496.98
6853,5969.64
36813,7656.85
20549,6040.64
3429,4679.72
32533,6170.3
2573,10014.3
8565,6354.47
24829,7357.29
29109,6036.85
18837,5910.42
25685,7818.53
15413,5245.75
40237,6537.04
38525,10440.5
7709,6025.23
17981,5982.15
39381,5621.63
27397,5404.32
29965,6000.22
31677,5916.38
19693,5882.88
14557,10334.8
28253,6045.37
13701,8581.97
37669,7987.25
24830,6067.08
34246,4467.47
35102,6138.16
10278,4592.8
20550,4984.65
5142,5035.85
16270,4465.67
22262,4371.58
15414,4920.32
30822,4889.1
11990,6246.77
6,6107.3
11134,6171.57
8566,5072.15
862,6112.36
29966,4920.37
13702,6601.75
17126,5076.88
26542,7433.61
39382,5118.21
1718,6517.04
17982,4915.72
33390,4891.42
27398,4945.06
29110,5033.87
2574,7620.51
19694,4913.66
40238,4736.65
35958,6139.53
3430,4863
28254,4442.78
9422,4776.51
32534,5050.27
36814,6171.94
18838,4866.79
23118,6049.6
4286,4516.12
14558,7511.58
38526,7567.02
12846,6468.24
6854,4930.9
25686,6412.52
21406,4875.81
23974,6059.62
7710,4997.76
37670,6497.34
31678,4930.22
5998,4958
5143,6794.69
22263,5703.67
4287,5787.34
26543,9399.78
10279,5953.29
24831,8344.65
27399,4317.8
29111,6864.22
18839,7387.93
23975,7750.08
11135,7945.24
25687,8294.27
19695,7294.57
30823,7050.73
13703,8785.84
15415,4711.77
33391,4287.2
9423,3696.92
29967,6835.1
17983,7188.53
14559,10799.4
35959,7986.06
2575,9616.2
8567,6870.36
32535,7177.46
6855,6996.97
863,8490
3431,3745.4
39383,4378.46
23119,7724.88
21407,4365.9
20551,7412.55
40239,6280.85
16271,6488.11
7711,6695.09
37671,8838.74
12847,8846.3
28255,5794.72
31679,7013.13
5999,6808
36815,8729.04
35103,7908.37
17127,7561.04
1719,8602.71
11991,8113.69
34247,5769.87
7,7865.81
38527,10248.3
33392,5025.41
26544,10225.3
15416,5504.53
23120,8016.16
9424,4759.21
10280,5986.78
3432,4777.93
22264,5999.44
35960,8214.04
13704,8447.78
27400,5074.92
24832,8176.69
28256,6022.75
25688,8486.16
4288,6014.96
2576,10330.5
7712,5946.23
6856,5948.04
30824,5974.78
5144,6005.3
11136,8147.31
39384,5009.05
14560,12344.3
21408,5065.05
35104,8191.25
40240,6212.15
31680,5991.84
864,8254.64
20552,6080.36
8568,6009.98
23976,8046.14
29968,5971.97
36816,8375.59
38528,10728.7
17128,6447.01
34248,5993.59
16272,6536.71
29112,6036.36
8,8098.56
