"Id","Sales"
1,4127.84
24825,4543.92
5993,3509.96
37665,4863.37
18833,3603.75
12841,5204.36
19689,3378.34
857,4296.45
15409,4752.29
38521,5453.64
13697,5124.12
7705,3618.73
39377,5051
20545,3583.86
1713,4667.47
16265,4361.69
33385,4384.82
27393,4534.02
2569,5071.8
40233,4759.81
21401,4247.6
35953,4439.3
34241,4038.19
3425,4304.67
22257,3852.52
9417,3865.92
30817,3590.2
10273,4267.07
35097,4375.34
23113,4267.98
4281,4109.26
14553,5573.95
8561,3891.96
29961,3296.74
25681,4831.64
5137,3580.4
23969,4412.04
36809,4696.58
17977,3528.58
26537,5323.29
11985,4628.67
6849,3636.27
17121,3904.98
29105,3859.81
32529,3953.64
11129,4467.56
31673,3538.4
28249,4186.15
23970,7412
1714,8811.52
24826,7955.89
18834,5422.83
38522,9699.92
5994,5542.15
35954,7458.88
2,7193.91
39378,4541.01
4282,3740.49
29106,5921.86
8562,5745.53
9418,3454.87
25682,8542.21
19690,5215.48
34242,3877.89
16266,4272.37
22258,3481.46
26538,9787.17
20546,4934.78
10274,4012.68
30818,5729.15
37666,8237.08
33386,3970.7
14554,12215.9
858,7949.31
21402,3737.18
2570,9585.08
11130,7172.21
5138,5603.86
40234,4586.37
32530,5799.61
36810,7954.87
11986,7630.65
15410,4353.21
35098,7275.73
29962,5102.11
23114,7012.4
17978,5405.12
31674,5682.62
28250,3620.05
6850,5706.69
13698,8563.46
27394,3817.05
7706,5797.21
17122,6143.01
12842,8290.46
3426,3746.14
4283,6098.89
23971,10224.3
24827,10526.8
1715,10998.6
8563,8763.35
5995,7803.78
29107,10075.5
38523,14658.4
34243,7160.31
22259,6429.02
35955,10482.8
3,8827.97
20547,8518.99
39379,4882.14
16267,7464.8
26539,14271.2
23115,10267
18835,8931.12
25683,12022.6
37667,12005.2
859,9173.9
17123,10185.2
5139,8121.34
19691,8805.67
9419,3495.12
7707,8562.18
11987,9348.26
10275,6173.93
35099,10810.3
33387,4628.58
14555,15001
21403,4330.85
2571,12386
11131,9163.88
29963,8408.28
15411,4736.42
28251,6710.03
32531,10173.4
13699,12346.6
36811,10593.9
30819,9189.19
40235,7668.26
6851,7937.57
12843,10446.6
27395,4504.17
17979,9033.88
3427,3719.54
31675,9737.48
860,6868.27
24828,6635.83
5996,5666.95
4284,3361.07
26540,8936.2
23972,7217.86
1716,7896.27
28252,3258.2
4,7265.12
23116,5944.75
37668,7261.83
16268,3755.56
35956,7059.62
11132,6054.9
19692,4723.73
5140,5124.46
22260,3094.07
32532,5530.39
11988,7551.95
30820,4988.73
39380,3908.26
10276,3317.76
33388,3647.37
14556,9969.15
40236,3637.05
25684,7372
6852,5165.21
17124,5245.56
34244,3272.97
15412,4296.5
3428,3599.12
20548,4744.71
9420,3244.41
17980,5403.38
21404,3685.52
35100,6093.66
7708,5286.84
8564,5705.94
29108,5086.8
2572,9366.49
29964,4964.22
36812,6638.69
38524,8981.86
27396,3756.67
13700,8464.28
31676,5091.15
12844,7698.08
18836,4938.46
16269,6631.38
23973,7731.89
4285,6082.62
11989,7757.66
11133,7348.83
861,7427.13
23117,7406.16
1717,8219.42
5997,5933.22
5,7087.47
17125,6879.78
34245,6181.42
22261,5899.1
21405,4059.68
26541,11172.7
9421,3632.06
30821,6092.01
10277,6110.57
35101,7342.03
33389,4119.49
35957,7355.4
5141,6011.23
12845,8511.52
6853,6109.09
36813,7472.95
20549,6199.71
3429,3824.06
32533,6932.91
2573,10501.4
8565,7095.57
24829,7886.4
29109,6601.97
18837,6130.78
25685,8549.69
15413,4247.68
40237,6453.68
38525,11066.3
7709,6198.29
17981,6139.3
39381,4325.3
27397,4191.45
29965,5544.11
31677,5993.62
19693,5997.94
14557,11208.9
28253,6265.24
13701,9124.92
37669,8076.02
24830,5488.11
34246,4601.07
35102,5619.76
10278,4611.24
20550,4681.13
5142,5111.68
16270,4749.04
22262,4283.29
15414,4846.02
30822,4769.75
11990,5945.36
6,5590.51
11134,5559.16
8566,5574.23
862,5744.36
29966,4390.36
13702,6507.07
17126,5203.69
26542,7118.54
39382,5046.16
1718,6552.02
17982,4696
33390,4709.11
27398,4830.01
29110,5201.9
2574,7560.5
19694,4567.06
40238,4909.59
35958,5620.35
3430,4727.37
28254,4568.75
9422,4192.48
32534,5410.92
36814,5559.08
18838,4763.93
23118,5439.1
4286,4682.57
14558,7301.77
38526,7187.56
12846,6044.06
6854,4988.24
25686,6102.27
21406,4576.71
23974,5541.64
7710,5070.57
37670,6084.73
31678,4873.5
5998,4977.76
5143,6290.85
22263,5484.45
4287,5499.74
26543,9706.66
10279,5532.37
24831,8590.15
27399,4827.57
29111,6843.94
18839,6982.14
23975,7762.43
11135,7258.17
25687,8193.35
19695,6335.1
30823,7024.14
13703,8766.09
15415,5050.38
33391,4536.32
9423,3431.01
29967,6248.53
17983,6628.23
14559,11583.9
35959,7800.56
2575,9486.51
8567,6757.21
32535,7230.41
6855,6983.61
863,8370.04
3431,3748.61
39383,4753.66
23119,7295.53
21407,4805.06
20551,6250.5
40239,6055.8
16271,6561.39
7711,6651.54
37671,8487.94
12847,8923
28255,5760.04
31679,6809.72
5999,6552.86
36815,8728.62
35103,7579.04
17127,6958.11
1719,8359.31
11991,7958.17
34247,5673.47
7,7327.94
38527,10445.5
33392,5291.95
26544,10781.7
15416,5709.23
23120,7585.5
9424,4502.64
10280,5623.67
3432,5123.18
